Ticker,Eigenvector_Centrality,ER_eigen_Mean,ER_eigen_Std,DP_Eigen_Mean,DP_Eigen_Std
BKNG,0.0011713690625805994,0.03720208788028221,0.0075398959577328015,0.004143118787936405,0.001035335996062659
APO,0.006337978858219232,0.0372257638591869,0.007753248011682132,0.025832840936448512,0.002376908578076064
SPGI,0.0009329943101064081,0.03737183109841678,0.0076460285613501955,0.008386696790440854,0.0014356810893403206
MCO,0.0025956632872014165,0.03726641396907609,0.007841243245568785,0.01553805044052092,0.0020303162051876944
REG,0.016583904982514358,0.037110857908183505,0.007843573437777952,0.029656788321211394,0.002675187954617906
GLPI,0.00025378420654853566,0.036879267391736865,0.007748436398584607,0.006319886199402324,0.0012395494113209803
JLL,0.018129191592711195,0.037146174005653614,0.007735394045149344,0.031766618078256995,0.0026514883147169387
COKE,0.00024396687375240032,0.03798249682450667,0.0077122769075666,0.007324052814093214,0.0012848824227453144
ADC,0.005089617893620179,0.03711256609943867,0.007296878242297505,0.0384830496010286,0.003016434823966049
FCPT,0.0017268418819798598,0.037404507993741516,0.007484839499659966,0.02375639670603008,0.0023409898678298127
NFG,0.0007866996252403288,0.03720197684120972,0.007668198576739865,0.00419919015242767,0.0010046501331397774
BCSF,0.0009355042068052871,0.0371321183368272,0.007770903369518862,0.006282458066441363,0.0012998594683131795
PNC,0.13481625499236427,0.037507823567080475,0.007884912225134709,0.11057965100639111,0.004285032655123376
MTB,0.11919042898962263,0.037504635076033695,0.0077239318299241275,0.09786965520030505,0.004126989458282625
TPG,0.015558025174230503,0.03745503606221538,0.007851160539851913,0.019621506920355733,0.00215564175538184
EVR,0.09058651223221754,0.03749974452289352,0.0076542798220456945,0.07763153499741168,0.003951886936715708
VNO,0.01863503613404324,0.037510557568493974,0.007355865481020409,0.021668937419681962,0.0023493740311851404
ALSN,0.04765120056161631,0.03729200582294715,0.0075458295718581975,0.048262046214074386,0.0030858703257130846
UMBF,0.12312621940518897,0.037844672558506556,0.007617732756981508,0.10432483547248989,0.004283972695183297
COLB,0.11394816634330027,0.03698180978684809,0.007723519492810487,0.09699819811980795,0.003957476908534489
GBCI,0.0750011812607458,0.03736363737975663,0.0075576796253083185,0.06491286371849327,0.0036158513041135735
CUZ,0.0662466954703674,0.03754819233725678,0.007775925297636219,0.06593283388338646,0.003706289750029116
SFBS,0.11802368700253822,0.03784882261015208,0.007477257757700242,0.09781187908031552,0.004222230166183833
DORM,0.07056819852754921,0.03740942910416615,0.007672738748231373,0.062472684943293354,0.003561199137357279
TCBI,0.0466625553919318,0.037059334181591734,0.008052612533132192,0.0434428866137579,0.0030073199540434047
DEI,0.03953002645091038,0.037321858205032477,0.007515751807974836,0.03766877597842088,0.0028719313318331663
SFNC,0.039074091603848324,0.0375033774022987,0.007738397201924096,0.035620253407660715,0.0027660963932325264
BANR,0.14482694417171244,0.037060570807060725,0.007631773901046976,0.1206794948205274,0.0043980940844958105
HBI,0.0027246249751676395,0.03714915047225274,0.007854738383137501,0.005282518159955364,0.0011405049018410821
VBTX,0.08065404507060592,0.037632693657104296,0.008018276091011982,0.0711442994502117,0.0037202421060877895
DCOM,0.11534314894562506,0.03696215255407232,0.007589923484054656,0.09787507639279783,0.004112746188645685
CMPO,0.03377689327612233,0.0371715970241972,0.007734583273299405,0.0444457996253006,0.003188338022168825
TMP,0.10326774781801576,0.037494725832533854,0.007954912464965066,0.08796474769761602,0.004119662132235823
AROC,0.0009780947683026271,0.03732447478611196,0.007969243673461114,0.010399323485306694,0.0015953915677451766
DXPE,0.00024263370666562683,0.037809163672471884,0.007786443950224,0.005216150005434871,0.0011264108580059768
VFC,4.258893840093095e-05,0.0376553007958411,0.007926031687552447,0.0020825592117248255,0.0007310016704276635
PH,0.014364361019209593,0.03742871199109718,0.007600881080101265,0.020616348198029984,0.0022365890656358823
PAYX,0.02030683044501819,0.0371760407928964,0.00777009174018796,0.023771559659233915,0.0023596104102864726
RDDT,0.003539012913317467,0.037292326606864164,0.007542834561132444,0.009345624146176882,0.0015303353437536445
EXEL,0.002938737156559367,0.037369641563697875,0.007960428408427504,0.004236234013192731,0.0010004299543197256
PNFP,0.08008009803537888,0.03732327482480241,0.007803801460099737,0.08089881027591736,0.0038777506877791116
