Ticker,Cluster_coefficient,ER_Cluster_Mean,ER_Cluster_Std,DP_Cluster_Mean,DP_Cluster_Std
GVA,0.3482642777155655,0.03619034504364187,0.01118735515352903,0.18964680851063828,0.01733089577925913
FBK,0.4780650542118432,0.03689201020492348,0.011399752907370652,0.18344186822351957,0.01500312849565414
WWW,0.8636363636363636,0.03681323002559532,0.011542390670639151,0.236030303030303,0.08009386690650924
USB,0.7661538461538462,0.03710674790786606,0.01136104096540873,0.23020923076923078,0.04681863831605431
EWBC,0.5458823529411765,0.03707135131763292,0.011447711165780045,0.21258509803921566,0.02948315486412804
BANF,0.5119191919191919,0.0368872994740799,0.011637416003252061,0.18843737373737374,0.01704702945958111
CATY,0.6309523809523809,0.037286694057512025,0.011139843033691022,0.2162049319727891,0.03033710154634145
FHI,0.0,0.0365904001659933,0.011433147585869432,0.0,0.0
LC,0.8095238095238095,0.03718089050085421,0.011435458468953696,0.2404285714285714,0.1246987886193014
FMCCT,0.4166666666666667,0.03621686137438089,0.011616746791043993,0.2392777777777778,0.09597188430934618
AXON,0.4528735632183908,0.036467400564264674,0.0112444022002191,0.22812873563218392,0.04184777487543401
SOFI,0.45,0.03644419937601215,0.011550733280497463,0.23286666666666667,0.06397905896973885
SEIC,0.36796536796536794,0.03676055673319077,0.011556524077390733,0.2311341991341991,0.05336457880071475
DAVE,0.6,0.03647041370720049,0.011106376145810308,0.2378,0.13658873727294094
LMT,0.0,0.036457655191244866,0.01161124370305292,0.0,0.0
SO,0.45454545454545453,0.0369888889389161,0.011466788056643657,0.23407575757575758,0.08114776266456418
AFL,0.3225806451612903,0.03730054442637376,0.011580355278406096,0.22336989247311828,0.03986687130085123
AEP,0.6666666666666666,0.0367833710626016,0.011363884077005124,0.24433333333333332,0.26590460849028535
D,0.6666666666666666,0.036965712146943754,0.011483842593559803,0.2313333333333333,0.25493985106490186
AVB,0.3941798941798942,0.03654972899125327,0.011133018568344208,0.22635978835978834,0.04394368784900519
VTR,0.41333333333333333,0.03722834503747229,0.011521271422956066,0.22621666666666668,0.0478014903793018
EQR,0.7032967032967034,0.0371259641560126,0.011766389897474527,0.22978021978021976,0.0721744965788519
ESS,0.8,0.036696433401138887,0.011731697111596922,0.23244444444444445,0.08828736521375667
DOC,0.0,0.03702357614187477,0.011547859510663807,0.25049999999999994,0.19786361747990294
CPT,0.6923076923076923,0.03651809178357599,0.011866481838641033,0.23513186813186815,0.07192240719239824
PNW,0.39655172413793105,0.03605143267278322,0.011251440910794035,0.2244310344827586,0.04239725052118958
NFE,0.6538461538461539,0.03633293539385077,0.011287602749019132,0.22926923076923078,0.0749440756679645
CVLT,0.5978260869565217,0.03651189702297351,0.011619774256860909,0.22774637681159418,0.04922210415712495
MO,0.3915343915343915,0.03711473179352808,0.01156465754401568,0.22557936507936507,0.04324307152249554
IP,0.4835164835164835,0.037056608988518445,0.011313043136933095,0.2347802197802198,0.07369748226945988
TYL,0.4308300395256917,0.03619363494147814,0.011728573766215281,0.2285177865612648,0.04995185694705474
EL,0.3333333333333333,0.03755118137786603,0.012127574066083361,0.234,0.1373097413739728
MAA,0.5421052631578948,0.03683538116864634,0.011581094955386837,0.23189473684210526,0.05516639756285271
PPC,0.5,0.03640906531414258,0.011547017601671579,0.24,0.19548911420217066
ACIW,0.38289744343226567,0.037059116801518965,0.011372154004551837,0.1974687040846312,0.019578220690503047
IRT,0.7777777777777778,0.03735023243626412,0.011468864310337064,0.24084444444444444,0.09122108973882666
CPK,0.5333333333333333,0.03609308717359618,0.011474666477100944,0.21806666666666666,0.0339306438635932
BKU,0.6069906223358909,0.03693699371078872,0.011389521169558492,0.2043167092924126,0.02374222856485147
NBTB,0.6586059743954481,0.03645660663403474,0.011959658436141073,0.22252916073968707,0.03579574320303391
LMAT,0.5272727272727272,0.037381536476008524,0.012458417844014961,0.23709090909090907,0.08552903625371193
BY,0.6112994350282486,0.03662579107281434,0.011511814378234128,0.20909322033898303,0.02661717105672385
UVSP,0.4677046076162424,0.03667882567057919,0.011287333342012667,0.18931601094045866,0.01742250446529927
CTAS,0.23636363636363636,0.037138590569867985,0.011462694110587118,0.23105454545454543,0.08259704709942672
FICO,0.525691699604743,0.03667274202034271,0.011485940827025235,0.23071146245059287,0.049603813448384916
FITB,0.545662100456621,0.03654299936444828,0.011284167343440852,0.20185083713850835,0.022177020431531018
CINF,0.5885057471264368,0.0371358818626818,0.011570015999671236,0.22652643678160922,0.04159877464765223
KIM,0.4631578947368421,0.03637988656373886,0.01191979687565746,0.23216842105263158,0.05496776454750435
FTAI,1.0,0.036690541406546553,0.011407805502478028,0.244,0.4297076315922824
OHI,0.27586206896551724,0.037129248582906164,0.011604766667068767,0.22832019704433498,0.04417626769090999
